zona,area_quartos,enderecos_lista,aluguel
centro,300 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",12.000
centro,800 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",25.000
centro,300 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",11.000
centro,162 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",3.000
centro,162 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",5.000
centro,245 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",25.000
centro,75 m² construídos3 quartos,"Rua Afonso Cavalcanti, Cidade Nova, Rio De Janeiro Centro, Rio De Janeiro",2.000
centro,35 m² construídos,"Avenida Nossa Senhora De Fatima, Centro, Rio De Janeiro Centro, Rio De Janeiro",900
centro,42 m² construídos2 quartos,"Rua Marquês Pombal, Centro, Rio De Janeiro Centro, Rio De Janeiro",950
centro,90 m² construídos2 quartos,"Rua Do Resende, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.450
centro,35 m² construídos1 quarto,"Rua Da Relação, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.780
centro,50 m² construídos1 quarto,"R. Do Senado, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.208
centro,53 m² construídos1 quarto,"Rua Tenente Possolo, 1, Centro, Rio De Janeiro Centro, Rio De Janeiro",950
centro,35 m² construídos1 quarto,"Rua Evaristo Da Veiga, Centro, Rio De Janeiro Centro, Rio De Janeiro",680
centro,30 m² construídos1 quarto,"Rua Carlos Sampaio, Centro, Rio De Janeiro Centro, Rio De Janeiro",850
centro,35 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",1.000
centro,60 m² construídos2 quartos,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.500
centro,35 m² construídos,"Praça Olavo Bilac, Centro, Rio De Janeiro Centro, Rio De Janeiro",600
centro,600 m² construídos,"Santo Cristo, Rio De Janeiro Centro, Rio De Janeiro",35.000
centro,527 m² construídos,"Rua  Lavradio, Centro, Rio De Janeiro Centro, Rio De Janeiro",19.500
centro,36 m² construídos1 quarto,"Avenida Gomes Freire, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.900
centro,32 m² construídos1 quarto,"Avenida Gomes Freire, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.250
centro,217 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",6.000
centro,32 m² construídos1 quarto,"Avenida Gomes Freire, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.900
centro,100 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",2.900
centro,468 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",6.000
centro,32 m² construídos1 quarto,"Avenida Gomes Freire, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.750
centro,597 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",23.880
centro,270 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",13.000
centro,340 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",13.000
centro,483 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",19.356
centro,379 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",8.500
centro,385 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",8.000
centro,760 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",17.000
centro,800 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",30.000
centro,603 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",60.300
centro,727 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",50.000
centro,576 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",28.845
centro,760 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",91.236
